 的	〔※※※※☯rqyy☯de※di※〕
 鳉	〔※※※※☯qguf☯jiang※〕
 鳑	〔※※※※☯qgyy☯fang※pang※〕
 鳒	〔※※※※☯qguo☯jian※qian※〕
 鳚	〔※※※※☯qgnf☯wei※〕
 鳛	〔※※※※☯qgnr☯xi※〕
 鳠	〔※※※※☯qgac☯hu※〕
 鳡	〔※※※※☯qgdn☯gan※〕
 鳣	〔※※※※☯qgyg☯shan※zhan※〕
 鳤	〔※※※※☯qgtn☯guan※〕
 鳥	〔※※※※☯wvgo☯niao※diao※〕
 鳦	〔※※※※☯wvgn☯yi※〕
 鳧	〔※※※※☯wvgw☯fu※〕
 鳨	〔※※※※☯wvge☯li※〕
 鳩	〔※※※※☯vwvo☯jiu※〕
 鳪	〔※※※※☯hwvo☯bu※〕
 鳫	〔※※※※☯dwvo☯yan※〕
 鳬	〔※※※※☯wvgw☯fu※〕
 鳭	〔※※※※☯vwvo☯diao※zhao※〕
 鳮	〔※※※※☯cwvo☯ji※〕
 鳯	〔※※※※☯wwvo☯feng※〕
 鳰	〔※※※※☯tywo☯ru※〕
 鳱	〔※※※※☯fwvo☯gan※han※yan※〕
 鳲	〔※※※※☯nwvo☯shi※〕
 鳳	〔※※※※☯wdho☯feng※〕
 鳴	〔※※※※☯kwvo☯ming※〕
 鳵	〔※※※※☯nfwo☯bao※〕
 鳶	〔※※※※☯aywo☯yuan※〕
 鳷	〔※※※※☯fcwo☯chi※zhi※〕
 鳸	〔※※※※☯ynwo☯hu※〕
 鳹	〔※※※※☯wyno☯qin※〕
 鳺	〔※※※※☯fwwo☯fu※gui※〕
 鳻	〔※※※※☯wvwo☯ban※fen※〕
 鳼	〔※※※※☯ywvo☯wen※〕
 鳽	〔※※※※☯gawo☯jian※qian※zhan※〕
 鳾	〔※※※※☯gmho☯shi※〕
 鳿	〔※※※※☯gwvo☯yu※〕
 鴀	〔※※※※☯dhwo☯fou※〕
 鴁	〔※※※※☯tdwo☯ao※yao※〕
 鴂	〔※※※※☯nwwo☯gui※jue※〕
 鴃	〔※※※※☯wvgw☯gui※jue※〕
 鴄	〔※※※※☯aqwo☯pi※〕
 鴅	〔※※※※☯mywo☯huan※〕
 鴆	〔※※※※☯pqwo☯zhen※〕
 鴇	〔※※※※☯xfwo☯bao※〕
 鴈	〔※※※※☯dwwo☯yan※〕
 鴉	〔※※※※☯ahto☯ya※〕
 鴊	〔※※※※☯ghwo☯zheng※〕
 鴋	〔※※※※☯ywvo☯fang※〕
 鴌	〔※※※※☯gdwo☯feng※〕
 鴍	〔※※※※☯ywvo☯wen※〕
 鴎	〔※※※※☯arwo☯ou※〕
 鴏	〔※※※※☯wvgy☯dai※〕
 鴐	〔※※※※☯ekwo☯ge※〕
 鴑	〔※※※※☯vcwo☯ru※〕
 鴒	〔※※※※☯wyco☯ling※〕
 鴓	〔※※※※☯ntwo☯bi※mie※〕
 鴔	〔※※※※☯tpwo☯fu※〕
 鴕	〔※※※※☯wvgx☯tuo※〕
 鴖	〔※※※※☯nnao☯min※wen※〕
 鴗	〔※※※※☯uwvo☯li※〕
 鴘	〔※※※※☯cawo☯bian※〕
 鴙	〔※※※※☯tdwo☯zhi※〕
 鴚	〔※※※※☯wvgk☯ge※〕
 鴛	〔※※※※☯qbwo☯yuan※〕
 鴜	〔※※※※☯hxwo☯ci※〕
 鴝	〔※※※※☯qkwo☯qu※〕
 鴞	〔※※※※☯kgno☯xiao※〕
 鴟	〔※※※※☯qayo☯chi※〕
 鴠	〔※※※※☯jgwo☯dan※〕
 鴡	〔※※※※☯egwo☯ju※〕
 鴢	〔※※※※☯xewo☯ao※yao※〕
 鴣	〔※※※※☯dwvo☯gu※〕
 鴤	〔※※※※☯wvgu☯zhong※〕
 鴥	〔※※※※☯wvgw☯yu※〕
 鴦	〔※※※※☯mdwo☯yang※〕
 鴧	〔※※※※☯pwwo☯yu※〕
 鴨	〔※※※※☯lwvo☯ya※〕
 鴩	〔※※※※☯rwwo☯hu※tie※〕
 鴪	〔※※※※☯pwwo☯yu※〕
 鴫	〔※※※※☯lwvo☯tian※〕
 鴬	〔※※※※☯ipwo☯ying※〕
 鴭	〔※※※※☯wnno☯dui※〕
 鴮	〔※※※※☯dfno☯wu※〕
 鴯	〔※※※※☯dmjo☯er※〕
 鴰	〔※※※※☯tdwo☯gua※〕
 鴱	〔※※※※☯arwo☯ai※〕
 鴲	〔※※※※☯xjwo☯zhi※〕
 鴳	〔※※※※☯pvwo☯an※e※yan※〕
 鴴	〔※※※※☯tgso☯heng※〕
 鴵	〔※※※※☯qiwo☯xiao※〕
 鴶	〔※※※※☯fkwo☯jia※〕
 鴷	〔※※※※☯gqjo☯lie※〕
 鴸	〔※※※※☯riwo☯zhu※〕
 鴹	〔※※※※☯ugwo☯xiang※yang※〕
 鴺	〔※※※※☯gxwo☯ti※yi※〕
 鴻	〔※※※※☯iawo☯hong※〕
 鴼	〔※※※※☯wvgk☯lu※〕
 鴽	〔※※※※☯vkwo☯ru※〕
 鴾	〔※※※※☯ctgo☯mou※〕
 鴿	〔※※※※☯wgko☯ge※〕
 鵀	〔※※※※☯wtfo☯ren※〕
 鵁	〔※※※※☯ywro☯jiao※xiao※〕
 鵂	〔※※※※☯wswo☯xiu※〕
 鵃	〔※※※※☯tewo☯diao※zhou※〕
 鵄	〔※※※※☯gcfo☯chi※〕
 鵅	〔※※※※☯tkwo☯ge※luo※〕
 鵆	〔※※※※☯twvs☯heng※〕
 鵇	〔※※※※☯rhfo☯nian※〕
 鵈	〔※※※※☯bwvo☯e※〕
 鵉	〔※※※※☯yowo☯luan※〕
 鵊	〔※※※※☯dwwo☯jia※〕
 鵋	〔※※※※☯nnwo☯ji※〕
 鵌	〔※※※※☯wvgs☯tu※〕
 鵍	〔※※※※☯pfqo☯guan※huan※juan※〕
 鵎	〔※※※※☯evwo☯tuo※〕
 鵏	〔※※※※☯geho☯bu※pu※〕
 鵐	〔※※※※☯awwo☯wu※〕
 鵑	〔※※※※☯kewo☯juan※〕
 鵒	〔※※※※☯wwko☯yu※〕
 鵓	〔※※※※☯fpbo☯bo※〕
 鵔	〔※※※※☯wvgt☯jun※〕
 鵕	〔※※※※☯cwto☯jun※〕
 鵖	〔※※※※☯vcwo☯bi※〕
 鵗	〔※※※※☯rdmo☯xi※〕
 鵘	〔※※※※☯vtko☯jun※〕
 鵙	〔※※※※☯mwvo☯ju※〕
 鵚	〔※※※※☯twwo☯tu※〕
 鵛	〔※※※※☯gvao☯jing※〕
 鵜	〔※※※※☯uxho☯ti※〕
 鵝	〔※※※※☯trxo☯e※〕
 鵞	〔※※※※☯trxo☯e※〕
 鵟	〔※※※※☯qtgo☯kuang※〕
 鵠	〔※※※※☯tfko☯gu※hu※〕
 鵡	〔※※※※☯fhno☯wu※〕
 鵢	〔※※※※☯tmdo☯shen※〕
 鵣	〔※※※※☯gkio☯chi※lai※〕
 鵤	〔※※※※☯qeho☯jiao※〕
 鵥	〔※※※※☯ugjo☯pan※〕
 鵦	〔※※※※☯wvgi☯lu※〕
 鵧	〔※※※※☯uawo☯pi※〕
 鵨	〔※※※※☯wgdo☯shu※〕
 鵩	〔※※※※☯ebco☯fu※〕
 鵪	〔※※※※☯djno☯an※〕
 鵫	〔※※※※☯hjfo☯zhuo※〕
 鵬	〔※※※※☯eewo☯peng※〕
 鵭	〔※※※※☯qwvo☯qiu※〕
 鵮	〔※※※※☯qewo☯qian※〕
 鵯	〔※※※※☯rtfo☯bei※〕
 鵰	〔※※※※☯mfko☯diao※〕
 鵱	〔※※※※☯fwfo☯lu※〕
 鵲	〔※※※※☯ajwo☯que※〕
 鵳	〔※※※※☯yneo☯jian※〕
 鵴	〔※※※※☯qowo☯ju※〕
 鵵	〔※※※※☯qkqo☯tu※〕
 鵶	〔※※※※☯gfgo☯ya※〕
 鵷	〔※※※※☯pqbo☯yuan※〕
 鵸	〔※※※※☯dsko☯qi※〕
 鵹	〔※※※※☯tqto☯li※〕
 鵺	〔※※※※☯ywto☯ye※〕
 鵻	〔※※※※☯wvgy☯zhui※〕
 鵼	〔※※※※☯pwao☯kong※〕
 鵽	〔※※※※☯ccco☯duo※〕
 鵾	〔※※※※☯jxxo☯kun※〕
 鵿	〔※※※※☯wvga☯sheng※〕
 鶀	〔※※※※☯wvgw☯qi※〕
 鶁	〔※※※※☯ykio☯jing※〕
 鶂	〔※※※※☯eqwo☯yi※〕
 鶃	〔※※※※☯wvgq☯yi※〕
 鶄	〔※※※※☯gewo☯jing※qing※〕
 鶅	〔※※※※☯vlwo☯zi※〕
 鶆	〔※※※※☯swwo☯lai※〕
 鶇	〔※※※※☯gjio☯dong※〕
 鶈	〔※※※※☯gvho☯qi※〕
 鶉	〔※※※※☯ykbo☯chun※〕
 鶊	〔※※※※☯ovwo☯geng※〕
 鶋	〔※※※※☯ndwo☯ju※〕
 鶌	〔※※※※☯nbmo☯jue※qu※〕
 鶍	〔※※※※☯jqro☯yi※〕
 鶎	〔※※※※☯pfio☯zun※〕
 鶏	〔※※※※☯efwo☯ji※〕
 鶐	〔※※※※☯sypo☯shu※〕
 鶑	〔※※※※☯oowo☯※〕
 鶒	〔※※※※☯gkio☯chi※〕
 鶓	〔※※※※☯alwo☯miao※〕
 鶔	〔※※※※☯cnho☯rou※〕
 鶕	〔※※※※☯ujwo☯an※ya※〕
 鶖	〔※※※※☯towo☯qiu※〕
 鶗	〔※※※※☯jgho☯chi※ti※〕
 鶘	〔※※※※☯dewo☯hu※〕
 鶙	〔※※※※☯yupo☯chi※ti※〕
 鶚	〔※※※※☯kkfo☯e※〕
 鶛	〔※※※※☯xxro☯jie※〕
 鶜	〔※※※※☯acno☯mao※〕
 鶝	〔※※※※☯gklo☯bi※fu※〕
 鶞	〔※※※※☯rfho☯chun※〕
 鶟	〔※※※※☯pwdo☯tu※〕
 鶠	〔※※※※☯ajvo☯yan※〕
 鶡	〔※※※※☯jqwo☯he※〕
 鶢	〔※※※※☯egdo☯yuan※〕
 鶣	〔※※※※☯ynmo☯bian※pian※〕
 鶤	〔※※※※☯plwo☯kun※〕
 鶥	〔※※※※☯nhwo☯mei※〕
 鶦	〔※※※※☯dewo☯hu※〕
 鶧	〔※※※※☯amdo☯ying※〕
 鶨	〔※※※※☯xgeo☯chuan※zhi※〕
 鶩	〔※※※※☯cnho☯wu※〕
 鶪	〔※※※※☯hdyo☯ju※〕
 鶫	〔※※※※☯glio☯dong※〕
 鶬	〔※※※※☯wyvo☯cang※qiang※〕
 鶭	〔※※※※☯xywo☯fang※〕
 鶮	〔※※※※☯ykmo☯he※hu※〕
 鶯	〔※※※※☯oopo☯ying※〕
 鶰	〔※※※※☯kmwo☯yuan※〕
 鶱	〔※※※※☯pawo☯qian※〕
 鶲	〔※※※※☯wcno☯weng※〕
 鶳	〔※※※※☯wvgh☯shi※〕
 鶴	〔※※※※☯pwyo☯he※〕
 鶵	〔※※※※☯qbto☯chu※〕
 鶶	〔※※※※☯ovho☯tang※〕
 鶷	〔※※※※☯pdho☯xia※〕
 鶸	〔※※※※☯xuxo☯ruo※〕
 鶹	〔※※※※☯qyvo☯liu※〕
 鶺	〔※※※※☯iweo☯ji※〕
 鶻	〔※※※※☯mewo☯gu※hu※〕
 鶼	〔※※※※☯uvoo☯jian※〕
 鶽	〔※※※※☯wyfo☯sun※xun※〕
 鶾	〔※※※※☯fjfo☯han※〕
 鶿	〔※※※※☯uxxo☯ci※〕
 鷀	〔※※※※☯uxxo☯ci※〕
 鷁	〔※※※※☯uwlo☯yi※〕
 鷂	〔※※※※☯ermo☯yao※〕
 鷃	〔※※※※☯jpvo☯yan※〕
 鷄	〔※※※※☯exdo☯ji※〕
 鷅	〔※※※※☯sswo☯li※〕
 鷆	〔※※※※☯xhno☯tian※〕
 鷇	〔※※※※☯fpdc☯kou※〕
 鷈	〔※※※※☯wvgw☯ti※〕
 鷉	〔※※※※☯rhao☯si※ti※〕
 鷊	〔※※※※☯gkmo☯yi※〕
 鷋	〔※※※※☯awgo☯tu※〕
 鷌	〔※※※※☯wvgo☯ma※〕
 鷍	〔※※※※☯thso☯xiao※〕
 鷎	〔※※※※☯rdfo☯gao※〕
 鷏	〔※※※※☯fhwo☯tian※〕
 鷐	〔※※※※☯jdfo☯chen※〕
 鷑	〔※※※※☯tuwo☯ji※〕
 鷒	〔※※※※☯gjho☯tuan※〕
 鷓	〔※※※※☯oaoo☯zhe※〕
 鷔	〔※※※※☯gqto☯ao※〕
 鷕	〔※※※※☯kwyo☯xiao※yao※〕
 鷖	〔※※※※☯atdo☯yi※〕
 鷗	〔※※※※☯akko☯ou※〕
 鷘	〔※※※※☯gkio☯chi※〕
 鷙	〔※※※※☯fufo☯zhi※〕
 鷚	〔※※※※☯nweo☯liu※〕
 鷛	〔※※※※☯oveo☯yong※〕
 鷜	〔※※※※☯lvwo☯lv※〕
 鷝	〔※※※※☯jafo☯bi※〕
 鷞	〔※※※※☯drro☯shuang※〕
 鷟	〔※※※※☯ytto☯zhuo※〕
 鷠	〔※※※※☯qowo☯yu※〕
 鷡	〔※※※※☯rlgo☯wu※〕
 鷢	〔※※※※☯dubo☯jue※〕
 鷣	〔※※※※☯sjfo☯yin※〕
 鷤	〔※※※※☯kklo☯tan※ti※〕
 鷥	〔※※※※☯xxio☯si※〕
 鷦	〔※※※※☯wyoo☯jiao※〕
 鷧	〔※※※※☯fpgo☯yi※〕
 鷨	〔※※※※☯agao☯hua※〕
 鷩	〔※※※※☯umio☯bi※〕
 鷪	〔※※※※☯hhpo☯ying※〕
 鷫	〔※※※※☯vfjo☯su※〕
 鷬	〔※※※※☯amwo☯huang※〕
 鷭	〔※※※※☯tolo☯fan※〕
 鷮	〔※※※※☯tdko☯jiao※〕
 鷯	〔※※※※☯dujo☯liao※〕
 鷰	〔※※※※☯akuo☯yan※〕
 鷱	〔※※※※☯thio☯gao※〕
 鷲	〔※※※※☯ykio☯jiu※〕
 鷳	〔※※※※☯uewo☯xian※〕
 鷴	〔※※※※☯uswo☯xian※〕
 鷵	〔※※※※☯nfto☯tu※〕
 鷶	〔※※※※☯lmwo☯mai※〕
 鷷	〔※※※※☯usgo☯zun※〕
 鷸	〔※※※※☯cnho☯yu※〕
 鷹	〔※※※※☯owwo☯ying※〕
 鷺	〔※※※※☯khto☯lu※〕
 鷻	〔※※※※☯wvgt☯tuan※〕
 鷼	〔※※※※☯ujwo☯xian※〕
 鷽	〔※※※※☯erro☯xue※〕
 鷾	〔※※※※☯ujno☯yi※〕
 鷿	〔※※※※☯nkuo☯pi※〕
 鸀	〔※※※※☯lqjo☯chu※shu※zhu※〕
 鸁	〔※※※※☯ynky☯luo※〕
 鸂	〔※※※※☯iexo☯xi※〕
 鸃	〔※※※※☯wvgy☯yi※〕
 鸄	〔※※※※☯ryto☯ji※〕
 鸅	〔※※※※☯lfuo☯ze※〕
 鸆	〔※※※※☯hako☯yu※〕
 鸇	〔※※※※☯ylko☯zhan※〕
 鸈	〔※※※※☯oguo☯ye※〕
 鸉	〔※※※※☯sjgo☯yang※〕
 鸊	〔※※※※☯nkuo☯bi※pi※〕
 鸋	〔※※※※☯pnlo☯ning※〕
 鸌	〔※※※※☯wvgc☯hu※〕
 鸍	〔※※※※☯gwmo☯mi※〕
 鸎	〔※※※※☯mmwo☯ying※〕
 鸏	〔※※※※☯apfo☯mang※meng※〕
 鸐	〔※※※※☯nwyo☯di※〕
 鸑	〔※※※※☯qtyo☯yue※〕
 鸒	〔※※※※☯egno☯yu※〕
 鸓	〔※※※※☯lllo☯lei※〕
 鸔	〔※※※※☯wvgi☯bu※〕
 鸕	〔※※※※☯halo☯lu※〕
 鸖	〔※※※※☯fwyo☯he※〕
 鸗	〔※※※※☯uego☯long※〕
 鸘	〔※※※※☯fsho☯shuang※〕
 鸙	〔※※※※☯wgko☯yue※〕
 鸚	〔※※※※☯mmvo☯ying※〕
 鸛	〔※※※※☯akko☯guan※〕
 鸜	〔※※※※☯hhwo☯gou※qu※〕
 鸝	〔※※※※☯gmyo☯li※〕
 鸞	〔※※※※☯yxxo☯luan※〕
 鸤	〔※※※※☯nqyg☯shi※〕
 鸧	〔※※※※☯wbqg☯cang※qiang※〕
 鸮	〔※※※※☯kgng☯xiao※〕
 鸰	〔※※※※☯wycg☯ling※〕
 鸴	〔※※※※☯ipqg☯xue※〕
 鸻	〔※※※※☯tgsg☯heng※〕
 鸼	〔※※※※☯teqg☯diao※zhou※〕
 鹀	〔※※※※☯awwg☯wu※〕
 鹍	〔※※※※☯jxxg☯kun※〕
 鹐	〔※※※※☯qeqg☯qian※〕
 鹒	〔※※※※☯ovwg☯geng※〕
 鹓	〔※※※※☯pqbg☯yuan※〕
 鹔	〔※※※※☯vijg☯su※〕
 鹖	〔※※※※☯jqwg☯he※〕
 鹙	〔※※※※☯toqg☯qiu※〕
 鹝	〔※※※※☯gkmg☯yi※〕
 鹟	〔※※※※☯wcng☯weng※〕
 鹠	〔※※※※☯qyvg☯liu※〕
 鹡	〔※※※※☯iweg☯ji※〕
 鹢	〔※※※※☯uwlg☯yi※〕
 鹥	〔※※※※☯atdg☯yi※〕
 鹮	〔※※※※☯lgkg☯huan※〕
 鹯	〔※※※※☯ylkg☯zhan※〕
 鹲	〔※※※※☯apfg☯mang※meng※〕
 鹴	〔※※※※☯fshg☯shuang※〕
 鹵	〔※※※※☯hlou☯lu※〕
 鹶	〔※※※※☯hlon☯jin※〕
 鹷	〔※※※※☯hloc☯ling※〕
 鹸	〔※※※※☯hlow☯jian※〕
 鹹	〔※※※※☯hloy☯xian※〕
 鹺	〔※※※※☯hloa☯cuo※〕
 鹻	〔※※※※☯hloo☯jian※〕
 鹼	〔※※※※☯hlow☯jian※〕
 鹽	〔※※※※☯ahnl☯yan※〕
 麀	〔※※※※☯onjx☯you※〕
 麁	〔※※※※☯qonx☯cu※〕
 麃	〔※※※※☯onjo☯biao※pao※〕
 麄	〔※※※※☯wvox☯cu※〕
 麅	〔※※※※☯onjn☯pao※〕
 麆	〔※※※※☯onjg☯cu※zhu※〕
 麉	〔※※※※☯ffox☯jian※〕
 麊	〔※※※※☯oonx☯mi※〕
 麌	〔※※※※☯onjd☯yu※〕
 麍	〔※※※※☯onjk☯liu※〕
 麎	〔※※※※☯onje☯chen※〕
 麏	〔※※※※☯onjk☯jun※qun※〕
 麐	〔※※※※☯onjk☯lin※〕
 麑	〔※※※※☯onjq☯ni※〕
 麔	〔※※※※☯onjk☯jiu※〕
 麕	〔※※※※☯onjt☯jun※qun※〕
 麖	〔※※※※☯onji☯jing※〕
 麗	〔※※※※☯gmyx☯li※〕
 麘	〔※※※※☯onjj☯xiang※〕
 麙	〔※※※※☯onjy☯xian※yan※〕
 麚	〔※※※※☯onjc☯jia※〕
 麛	〔※※※※☯onjb☯mi※〕
 麜	〔※※※※☯onjs☯li※〕
 麞	〔※※※※☯onjf☯zhang※〕
 麠	〔※※※※☯onjg☯jing※〕
 麡	〔※※※※☯onjj☯qi※〕
 麢	〔※※※※☯onjk☯ling※〕
 麣	〔※※※※☯onjt☯yan※〕
 麤	〔※※※※☯onjx☯cu※〕
 麥	〔※※※※☯swwq☯mai※〕
 麧	〔※※※※☯swwn☯he※〕
 麨	〔※※※※☯swwt☯chao※〕
 麩	〔※※※※☯swww☯fu※〕
 麪	〔※※※※☯swwn☯mian※〕
 麫	〔※※※※☯swwn☯mian※〕
 麬	〔※※※※☯swwc☯fu※〕
 麭	〔※※※※☯swwn☯pao※〕
 麮	〔※※※※☯swwc☯qu※〕
 麯	〔※※※※☯swwa☯qu※〕
 麰	〔※※※※☯swwg☯mou※〕
 麱	〔※※※※☯swwy☯fu※〕
 麲	〔※※※※☯swwq☯xian※yan※〕
 麳	〔※※※※☯swww☯lai※〕
 麵	〔※※※※☯swwd☯mian※〕
 麶	〔※※※※☯swwc☯chi※〕
 麷	〔※※※※☯swwu☯feng※〕
 麹	〔※※※※☯gqqo☯qu※〕
 麺	〔※※※※☯gqdd☯mian※〕
 麼	〔※※※※☯ossx☯mo※me※〕
 麿	〔※※※※☯ossk☯mo※〕
 黀	〔※※※※☯ossc☯zou※〕
 黁	〔※※※※☯ossj☯nun※〕
 黂	〔※※※※☯ossm☯fen※〕
 黃	〔※※※※☯agmw☯huang※〕
 黅	〔※※※※☯amwn☯jin※〕
 黆	〔※※※※☯amwq☯guang※〕
 黇	〔※※※※☯amwk☯tian※〕
 黈	〔※※※※☯amwg☯tou※〕
 黊	〔※※※※☯amwf☯hua※〕
 黋	〔※※※※☯igqw☯kuang※〕
 黌	〔※※※※☯errw☯hong※〕
 黐	〔※※※※☯twic☯chi※〕
 黒	〔※※※※☯jfou☯hei※〕
 黓	〔※※※※☯lfoy☯yi※〕
 黕	〔※※※※☯lfoq☯dan※〕
 黖	〔※※※※☯lfoq☯xi※〕
 黗	〔※※※※☯lfon☯tun※〕
 黙	〔※※※※☯jfdo☯mo※〕
 黚	〔※※※※☯lfof☯jian※qian※〕
 點	〔※※※※☯lfok☯dian※〕
 黡	〔※※※※☯ddyo☯yan※〕
 黣	〔※※※※☯lfox☯mei※〕
 黤	〔※※※※☯lfon☯yan※〕
 黦	〔※※※※☯lfob☯ye※yue※〕
 黨	〔※※※※☯ipko☯dang※〕
 黫	〔※※※※☯lfof☯yan※〕
 黬	〔※※※※☯lfoy☯jian※yan※〕
 黭	〔※※※※☯lfoa☯yan※〕
 黮	〔※※※※☯lfon☯zhen※〕
 黰	〔※※※※☯lfow☯yan※zhen※〕
 黱	〔※※※※☯eudo☯dai※zhun※〕
 黲	〔※※※※☯lfoe☯can※〕
 黳	〔※※※※☯atdo☯wa※yi※〕
 黴	〔※※※※☯tmgt☯mei※〕
 黵	〔※※※※☯lfoy☯dan※zhan※〕
 黶	〔※※※※☯djeo☯yan※〕
 黷	〔※※※※☯lfom☯du※〕
 黸	〔※※※※☯lfol☯lu※〕
 黺	〔※※※※☯oguv☯fen※〕
 黽	〔※※※※☯xhng☯mian※min※〕
 黿	〔※※※※☯fqxf☯yuan※〕
 鼀	〔※※※※☯fwxf☯cu※〕
 鼁	〔※※※※☯fcxf☯qu※〕
 鼂	〔※※※※☯jgxf☯chao※zhao※〕
 鼃	〔※※※※☯ffxf☯wa※〕
 鼄	〔※※※※☯rixf☯zhu※〕
 鼅	〔※※※※☯tdkx☯zhi※〕
 鼆	〔※※※※☯pjyx☯meng※〕
 鼇	〔※※※※☯gqtx☯ao※〕
 鼈	〔※※※※☯umix☯bie※〕
 鼉	〔※※※※☯kklx☯tuo※〕
 鼊	〔※※※※☯nkux☯bi※〕
 鼌	〔※※※※☯jgkn☯chao※zhao※〕
 鼏	〔※※※※☯phnn☯mi※〕
 鼑	〔※※※※☯hhnn☯ding※zhen※〕
 鼒	〔※※※※☯fthn☯zi※〕
 鼔	〔※※※※☯fkuc☯gu※〕
 鼕	〔※※※※☯fkuu☯dong※〕
 鼖	〔※※※※☯fafc☯fen※〕
 鼘	〔※※※※☯fkug☯yuan※〕
 鼚	〔※※※※☯fkue☯chang※〕
 鼛	〔※※※※☯fkuk☯gao※〕
 鼜	〔※※※※☯fkuj☯cao※qi※〕
 鼝	〔※※※※☯ijgc☯yuan※〕
 鼞	〔※※※※☯fkuf☯tang※〕
 鼟	〔※※※※☯fkuu☯teng※〕
 鼡	〔※※※※☯iwgj☯shu※〕
 鼣	〔※※※※☯enuy☯fei※〕
 鼤	〔※※※※☯enuy☯wen※〕
 鼥	〔※※※※☯enuy☯ba※fei※〕
 鼦	〔※※※※☯enuk☯diao※〕
 鼧	〔※※※※☯enux☯tuo※〕
 鼨	〔※※※※☯enuu☯zhong※〕
 鼩	〔※※※※☯enuk☯qu※〕
 鼪	〔※※※※☯enug☯sheng※〕
 鼫	〔※※※※☯enud☯shi※〕
 鼭	〔※※※※☯enuf☯shi※〕
 鼮	〔※※※※☯enup☯ting※〕
 鼰	〔※※※※☯enum☯ju※xi※〕
 鼱	〔※※※※☯enue☯jing※〕
 鼲	〔※※※※☯enul☯hun※〕
 鼳	〔※※※※☯enuy☯ju※xi※〕
 鼴	〔※※※※☯enuv☯yan※〕
 鼵	〔※※※※☯enuy☯tu※〕
 鼶	〔※※※※☯enuw☯si※〕
 鼸	〔※※※※☯enuo☯xian※〕
 鼺	〔※※※※☯enul☯lei※〕
 鼼	〔※※※※☯thlh☯ya※yao※〕
 鼿	〔※※※※☯thlq☯hui※wu※〕
 齀	〔※※※※☯thly☯hui※wu※〕
 齁	〔※※※※☯thlk☯hou※ku※〕
 齂	〔※※※※☯thli☯xie※〕
 齃	〔※※※※☯thln☯e※he※〕
 齅	〔※※※※☯thly☯xiu※〕
 齆	〔※※※※☯thlc☯weng※〕
 齇	〔※※※※☯thlg☯zha※〕
 齈	〔※※※※☯thle☯nong※〕
 齉	〔※※※※☯thle☯nang※〕
 齊	〔※※※※☯yuhj☯qi※ji※〕
 齋	〔※※※※☯yuhi☯zhai※〕
 齌	〔※※※※☯yuho☯ji※〕
 齍	〔※※※※☯yuhl☯ji※zi※〕
 齎	〔※※※※☯yuhm☯ji※〕
 齏	〔※※※※☯yuhg☯ji※〕
 齒	〔※※※※☯hbj☯chi※〕
 齓	〔※※※※☯hbnn☯chen※〕
 齔	〔※※※※☯hbxn☯chen※〕
 齕	〔※※※※☯hbtn☯he※〕
 齖	〔※※※※☯hbat☯ya※〕
 齗	〔※※※※☯hbrh☯yan※yin※〕
 齘	〔※※※※☯hbwj☯xie※〕
 齙	〔※※※※☯hbqn☯bao※〕
 齚	〔※※※※☯hbtf☯ze※〕
 齛	〔※※※※☯hban☯shi※xie※〕
 齜	〔※※※※☯hbhx☯zi※〕
 齝	〔※※※※☯hbck☯chi※〕
 齞	〔※※※※☯hbkw☯yan※〕
 齟	〔※※※※☯hbeg☯ju※〕
 齠	〔※※※※☯hbvk☯tiao※〕
 齡	〔※※※※☯hbwc☯ling※〕
 齢	〔※※※※☯hobc☯ling※〕
 齣	〔※※※※☯hbqk☯chu※〕
 齤	〔※※※※☯udhb☯quan※〕
 齥	〔※※※※☯hbjx☯shi※xie※〕
 齦	〔※※※※☯hbve☯yin※ken※〕
 齧	〔※※※※☯dhvb☯nie※〕
 齨	〔※※※※☯hbeg☯jiu※〕
 齩	〔※※※※☯hbyr☯yao※〕
 齪	〔※※※※☯hbkh☯chuo※〕
 齫	〔※※※※☯hbls☯yun※〕
 齬	〔※※※※☯hbgk☯yu※〕
 齭	〔※※※※☯hbrr☯chu※〕
 齮	〔※※※※☯hbdk☯qi※yi※〕
 齯	〔※※※※☯hbeq☯ni※〕
 齰	〔※※※※☯hbaj☯ce※ze※zha※〕
 齱	〔※※※※☯hbbc☯chuo※zou※〕
 齲	〔※※※※☯hbty☯qu※〕
 齳	〔※※※※☯hbpl☯yun※〕
 齴	〔※※※※☯hbue☯yan※〕
 齵	〔※※※※☯hbjy☯ou※yu※〕
 齶	〔※※※※☯hbkn☯e※〕
 齷	〔※※※※☯hbnf☯wo※〕
 齸	〔※※※※☯hbul☯yi※〕
 齹	〔※※※※☯ugab☯ci※cuo※〕
 齺	〔※※※※☯hbqt☯zou※〕
 齻	〔※※※※☯hbfw☯dian※〕
 齼	〔※※※※☯hbsh☯chu※〕
 齽	〔※※※※☯hbsi☯jin※〕
 齾	〔※※※※☯hagb☯e※ya※〕
 龁	〔※※※※☯hwbn☯he※〕
 龂	〔※※※※☯hwbr☯yan※yin※〕
 龍	〔※※※※☯uegd☯long※〕
 龎	〔※※※※☯dued☯pang※〕
 龏	〔※※※※☯uega☯gong※wo※〕
 龐	〔※※※※☯oued☯pang※〕
 龑	〔※※※※☯uegd☯yan※〕
 龒	〔※※※※☯uegi☯long※mang※〕
 龓	〔※※※※☯deud☯long※〕
 龔	〔※※※※☯uegw☯gong※〕
